7,2006,5.95,92,64,7.6,972
6,2013,5.87,95,98,9.1,8003
6,2008,5.82,95,85,6.8,5311
13,1998,5.82,89,13,9.2,364
4,2009,5.78,87,65,8.8,197
13,1996,5.74,89,8,8.9,102
10,2014,5.64,76,95,6.1,5380
1,2007,5.64,80,17,8.9,62
4,2006,5.63,67,35,7.2,21
2,1988,5.58,54,87,7,6377
12,1999,5.55,29,32,4,3884
6,2009,5.55,91,70,8.6,1202
5,2007,5.54,81,77,7.7,1074
5,2009,5.49,92,90,8,516
9,2001,5.49,84,19,7.8,41
17,2008,5.48,81,48,8.7,124
6,2011,5.48,96,42,8.6,2162
18,2014,5.48,97,14,7.9,764
9,2001,5.47,93,24,8.3,108
9,2001,5.46,68,84,3,3357
12,1999,5.45,97,31,1,2382
7,2001,5.42,66,22,7.1,156
6,2008,5.39,85,45,7.6,409
10,2016,5.38,93,113,7.9,7064
3,1989,5.34,49,30,1,1064
6,2009,5.33,83,83,7.3,2483
3,1999,5.31,87,108,5,4256
13,2000,5.3,94,22,8.9,779
5,2012,5.29,84,61,6.7,1196
7,2003,5.29,85,45,6.6,400
12,1999,5.27,16,112,8,4103
18,2014,5.27,81,53,5.4,898
6,2014,5.26,49,78,2,3432
5,2009,5.26,90,82,8.8,1305
13,1997,5.24,85,13,4,9665
7,2000,5.23,94,29,8.5,140
11,2013,5.23,23,91,5,3732
19,2012,5.22,84,70,8.1,733
7,2004,5.21,89,63,8.8,245
9,2003,5.2,72,64,5,10575
4,2007,5.19,85,72,8.6,147
3,1994,5.19,41,47,5,5782
5,2012,5.16,90,48,6.1,403
8,1995,5.15,13,72,4,2820
15,2012,5.14,88,86,4,9629
7,2003,5.13,68,30,7.6,100
3,1992,5.13,28,24,1,2569
15,1996,5.12,39,22,2,5783
7,2006,5.12,92,69,8.5,112
5,2010,5.1,80,88,6.5,604
4,2008,5.09,43,94,1,4624
6,2009,5.09,84,76,7.5,667
4,2007,5.08,90,57,8,416
3,1999,5.07,79,18,9,5235
6,2010,5.07,89,51,8,233
13,1996,5.05,91,8,9,266
17,2006,5.03,86,50,8,150
13,1999,5.02,92,18,9.2,69
13,1999,5.01,58,3,8,9169
13,1998,5,63,65,5,6106
7,2007,4.98,82,24,8.2,46
1,2007,4.98,68,34,7.1,47
4,2007,4.93,74,53,9,5679
5,2008,4.93,93,84,8.5,1655
6,2007,4.92,88,66,8.1,2306
7,2005,4.91,88,29,8,121
12,1997,4.88,56,95,1,2324
17,2010,4.87,55,22,6,2079
19,2014,4.87,38,44,2,2618
2,1990,4.85,16,52,9,1876
15,2010,4.84,93,82,8.2,3052
6,2007,4.82,81,40,7.3,769
6,2010,4.8,92,101,8.7,2633
13,1999,4.79,88,20,9,233
4,2007,4.76,80,9,5.4,46
13,2000,4.73,62,14,7.7,92
5,2011,4.73,94,87,8.7,1472
10,2014,4.71,16,102,8,51
7,2003,4.7,38,44,4,3879
13,2000,4.68,98,19,7.7,299
7,2002,4.67,82,32,8.2,78
13,1996,4.63,91,13,8.6,147
1,2008,4.62,73,50,7.6,119
10,2015,4.62,86,78,8.1,1264
8,1991,4.61,51,83,2,10459
20,2002,4.6,96,80,8.9,968
1,2007,4.6,86,36,8.4,87
11,2013,4.59,86,74,8.4,458
5,2011,4.57,91,83,8.2,617
1,2009,4.53,65,82,6,2615
7,2004,4.53,91,30,7.9,78
5,2007,4.53,85,69,7.9,165
16,1981,4.5,94,76,9,3661
7,2006,4.49,84,29,8.2,39
18,2015,4.48,84,101,6.4,2438
7,2002,4.48,76,25,7.9,41
13,2000,4.47,60,104,0,9332
10,2016,4.46,77,82,3.4,1129
7,2005,4.45,94,75,8.9,997
19,2015,4.43,81,88,8.5,1184
19,2012,4.42,77,61,7.9,471
7,2001,4.41,97,34,7.5,298
7,2006,4.39,86,19,8.9,33
5,2006,4.38,94,90,8.7,1109
2,1987,4.38,48,50,5,2111
7,2005,4.37,82,36,9.1,137
1,2010,4.36,56,37,8.3,31
6,2014,4.36,68,61,4.8,207
6,2006,4.34,86,70,8.1,715
21,1991,4.34,70,63,5,1704
7,2005,4.33,87,64,9,766
11,2011,4.33,24,64,4,9831
19,2013,4.32,93,83,9,1607
10,2014,4.32,96,74,6,5916
